Reactions,ReactionNames,MalignantCells_N_,MalignantCells_T_,FGFR2_Fibroblasts_N_,FGFR2_Fibroblasts_T_,ICAM1_Telocytes_N_,ICAM1_Telocytes_T_,FAP_Fibroblasts_N_,FAP_Fibroblasts_T_,ICAM1_Telocytes_N__1,ICAM1_Telocytes_T__1,MFAP5_Myofibroblasts_N_,MFAP5_Myofibroblasts_T_,CD73_Fibroblasts_N_,CD73_Fibroblasts_T_,DES_Myofibroblasts_N_,DES_Myofibroblasts_T_,THBS1_Macrophage_N_,THBS1_Macrophage_T_,VCAN_Monocyte_N_,VCAN_Monocyte_T_,MARCO_Macrophage_N_,MARCO_Macrophage_T_
MAR04316,"D-Glucitol:NADP+ 1-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88539410112546,0,0,0,0
MAR04317,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04318,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04319,"ATP:D-fructose 6-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04320,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04356,"D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04383,"D-mannose-6-phosphate aldose-ketose-isomerase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04385,"D-mannose 6-phosphate 1,6-phosphomutase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04386,"GDP:D-mannose-1-phosphate guanylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04387,"GTP:alpha-D-mannose-1-phosphate guanylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04399,"GDP-alpha-D-mannose 4,6-hydro-lyase (GDP-4-dehydro-alpha-D-rhamnose-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04400,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04401,"GTP:beta-L-fucose-1-phosphate guanylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04402,"ATP:6-deoxy-L-galactose 1-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04403,"L-fucose aldose-ketose-isomerase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04490,"ATP:D-mannose 6-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04706,"beta-D-fructose-2,6-bisphosphate 2-phosphohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08768,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04590,"Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04591,"xylitol:NAD oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04592,"xylitol:NADP+ oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04593,"xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04594,"D-xylose:NADP+ 1-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04595,"ATP:D-xylulose 5-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08341,"L-Arabitol:NADP+ 1-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08342,"L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08344,"L-gulonate:NADP+ 6-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08352,"L-Gulonate:NAD+ 3-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08353,"3-Dehydro-L-gulonate carboxy-lyase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08726,"ATP:D-ribulose 5-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08727,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08728,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08729,"UDP-glucuronate glucuronohydrolase",0,0,0,0.00442723737941845,0.00368082443345019,0,9.7349290876009,6.11016598435275,9.73632581974051,0.00368556539342393,0.00442267847211887,0.00368556907899301,0.00368463327680913,6.49757469810487,0.00442692078850352,0.00516474608466685,0,0.00590256105133764,0.00590256105133802,12.9759281071955,7.82817534353734,0.00590256105133796
MAR06537,"L-gulonate:NADP+ 6-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR01568,"Acetaldehyde:NAD+ oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03853,"(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03854,"Lactaldehyde:NAD+ 1-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03855,"Propane-1,2-diol:NADP+ 1-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03857,"(R)-S-Lactoylglutathione hydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03859,"(R)-Lactate:ferricytochrome-c 2-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04087,"(S)-malate:NAD+ oxidoreductase (decarboxylating)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04089,"(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04091,"(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04093,"Acetyl-CoA hydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04095,"Acetyl-CoA hydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04101,"GTP:oxaloacetate carboxy-lyase (adding GTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04103,"GTP:oxaloacetate carboxy-lyase (adding GTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04143,"Pyruvate:carbon-dioxide ligase (ADP-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04193,"CTP:pyruvate 2-O-phosphotransferase",0,3.62423842596807,0,998.957289352858,0.403165856905866,0,0,0,0,0.403685140894207,0,0,0,0.323281008385038,0,0,0,6.57391321265493,0,0,0,996.91184991917
MAR08497,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08498,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08499,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08500,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08501,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08502,"(R)-Lactaldehyde:NAD+ oxidoreductase (glutathione-formylating)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08503,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08504,"(R)-Lactaldehyde:NAD+ 2-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08506,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08507,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08508,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08509,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08511,"(R)-S-Lactoylglutathione hydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08512,"(R)-Lactate:NAD+ oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08514,"(S)-Lactate:ferricytochrome-c 2-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08516,"glycerone-phosphate phosphate-lyase (methylglyoxal-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08517,"glycerone-phosphate phosphate-lyase (methylglyoxal-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04280,"(S)-Lactate:NAD+ oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR00153,"Propanoate:CoA ligase (AMP-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03212,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03797,"Propanoate:CoA ligase (AMP-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03800,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04105,"malonyl-CoA carboxy-lyase (acetyl-CoA-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04106,"malonyl-CoA carboxy-lyase (acetyl-CoA-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04107,"malonyl-CoA carboxy-lyase (acetyl-CoA-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04282,"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)",0,0,0,0,4.07898785344072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04331,"Propionyladenylate:CoA propionyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04459,"ATP:propanoate adenylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04460,"ATP:propanoate adenylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
