Reactions,ReactionNames,rxnFormulas,subSystems,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2_,Fibroblast_Tumor_FGFR2_,Fibroblast_Normal_ICAM1_,Fibroblast_Tumor_ICAM1_,Fibroblast_Normal_FAP_,Fibroblast_Tumor_FAP_,Fibroblast_Normal_ICAM1__1,Fibroblast_Tumor_ICAM1__1,Fibroblast_Normal_MFAP5_,Fibroblast_Tumor_MFAP5_,Fibroblast_Normal_CD73_,Fibroblast_Tumor_CD73_,Fibroblast_Normal_DES_,Fibroblast_Tumor_DES_,Macrophage_Normal_THBS1_,Macrophage_Tumor_THBS1_,Macrophage_Normal_VCAN_,Macrophage_Tumor_VCAN_,Macrophage_Normal_MARCO_,Macrophage_Tumor_MARCO_
MAR04379,"ATP:D-fructose-6-phosphate 1-phosphotransferase",MAM01371c + MAM01845c  -> MAM01285c + MAM01841c + MAM02039c,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,0.984447801603649,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04301,"UTP:D-fructose-6-phosphate 1-phosphotransferase",MAM01845c + MAM03130c  -> MAM01841c + MAM02039c + MAM03106c,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,0.959865075455439,1,0.96212264930343,1,NaN,0.953303470706307,1,1,1,0.967783150633317,1,1,1,1,0.957969491049876,0.969651847113344
MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",MAM01690c + MAM01785c  -> MAM02883c,"Glycolysis / Gluconeogenesis",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MAR04358,"ATP:pyruvate 2-O-phosphotransferase",MAM01285c + MAM02039c + MAM02696c  -> MAM01371c + MAM02819c,"Glycolysis / Gluconeogenesis",0.965344003653219,NaN,0.966152651859097,0.970300365952504,0.972994540604879,0.969146532806929,0.967529177747986,0.969543115588296,0.967794267749691,0.967086624840697,0.968851113289829,0.964523414140466,0.96410472923739,0.972410161637042,0.971501964435408,0.959074148574794,0.965503639269902,NaN,0.964244132595112,0.967509219330873,0.95797120432885,0.95762604221551
MAR04360,"2-Oxopropanal:NADP+ oxidoreductase",MAM02040c + MAM02475c + MAM02554c  -> 2 MAM02039c + MAM02555c + MAM02819c,"Glycolysis / Gluconeogenesis",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04363,"2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)",MAM00674c  <=> MAM02040c + MAM02696c,"Glycolysis / Gluconeogenesis",0.823985484073098,0.81544385505756,0.832429037399946,0.841773865487274,0.840787550835328,0.861034420023656,NaN,0.837575086458201,0.803810789478271,0.806432087886577,0.811010522273659,0.780881091412026,0.807794737002944,0.859469234512786,0.856742535989255,0.827734500327168,NaN,0.846175970368887,0.846364718210257,0.840916270162389,0.830941996580825,0.829422985954037
MAR04365,"D-phosphoglycerate 2,3-phosphomutase",MAM00674c  <=> MAM00913c,"Glycolysis / Gluconeogenesis",0.851439522759662,0.867516064157864,0.888828684687164,0.893504019443696,0.886095283616052,0.896833031602532,0.864570488509068,0.868390403837822,0.876981998484718,0.866972908234053,0.884588773825337,0.860203465654564,0.865310372978979,0.871087208989476,0.903367789950161,0.894013684301883,0.915931466342836,0.916909340069095,0.914854094855404,0.909406602779858,0.908083959075845,0.90891619212029
MAR04368,"ATP:3-phospho-D-glycerate 1-phosphotransferase",MAM00247c + MAM01285c  <=> MAM00913c + MAM01371c,"Glycolysis / Gluconeogenesis",0.681967190444856,0.743193416438498,0.791103222055633,0.788841120078203,0.75831878222632,0.76611572290103,0.844909969309826,0.71155745745946,0.842398011596313,0.748354751233405,0.84533686354289,0.818719939587198,0.739162064356878,0.72266046408988,0.792925380903506,0.880920832014716,NaN,0.844136852857353,0.851938784525778,0.840357799371962,0.839382352466257,0.898007172224445
MAR04370,"3-Phospho-D-glyceroyl phosphate phosphohydrolase",MAM00247c + MAM02040c  -> MAM00913c + MAM02039c + MAM02751c,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",MAM00247c  -> MAM00569c + MAM02039c,"Glycolysis / Gluconeogenesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase",MAM00569c + MAM02040c  -> MAM00913c + MAM02751c,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04373,"D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)",MAM00247c + MAM02039c + MAM02553c  <=> MAM01939c + MAM02552c + MAM02751c,"Glycolysis / Gluconeogenesis",NaN,0.626334306746148,0.712682262814799,0.708062385635921,0.683252510402347,0.65450766158584,0.662019228334463,0.599015824726604,0.669393349645324,0.671811300735583,0.685938034001618,0.627962825128212,0.666841066239633,0.595408811610039,0.693211277626805,0.720836500207165,0.76218812106395,0.759358719351821,0.768205134772683,0.773294541444535,0.772088698534131,0.750739167589257
MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",MAM01690c + MAM01939c  <=> MAM01841c,"Glycolysis / Gluconeogenesis",0.780784345921433,0.995450282985194,0.999832306277872,0.915379190913521,0.875197610640016,0,0.885430081235713,0.859253333017312,0.886588180854829,0.881212987959443,0.889742350410598,0.852886762229976,0.998303061877173,0.866092902593783,0.997710572685852,0.978032221082136,0.999810514810554,0.999801188534345,0.999811594995026,0.99976945936392,0.988721444390306,0.979110016613752
MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",MAM01841c + MAM02040c  -> MAM01845c + MAM02751c,"Glycolysis / Gluconeogenesis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
MAR04381,"D-glucose-6-phosphate aldose-ketose-isomerase",MAM01845c  <=> MAM01968c,"Glycolysis / Gluconeogenesis",0.999992629070458,1,0.998922666988853,0.998919486784859,0.993814950523634,0.9812768910567,0.919313619830233,0.994024476596883,0.925305751941767,0.99936559269413,0.930853264108023,0.912847348208118,0.99895193484896,1,0.999991445041385,0.914059010016035,1,1,1,0.999833677803008,0.980002284987809,0.927510406005615
MAR04391,"D-glyceraldehyde-3-phosphate aldose-ketose-isomerase",MAM01690c  <=> MAM01939c,"Glycolysis / Gluconeogenesis",0.757102681626686,1,1,0.820665456243547,0.796906776056026,0.761457972259626,0.91022383406689,0.76710112724729,0.91356851326357,0.798321610317414,0.911851950443873,0.892574932479126,1,0.797610043606603,1,0.934582895761052,1,1,1,0.999793454999073,0.932918399028439,0.946580334561999
MAR04394,"ATP:D-glucose 6-phosphotransferase",MAM01371c + MAM01965c  -> MAM01285c + MAM01968c + MAM02039c,"Glycolysis / Gluconeogenesis",1.00000000000033,1.00000000000055,1,1,1,1,0,1,1,1,1,1,1,1.0000000000014,1,1,1,1,1,1,1,1
MAR04396,"alpha-D-glucose 1,6-phosphomutase",MAM01967c  <=> MAM01968c,"Glycolysis / Gluconeogenesis",0.999856531328138,0.999822010053306,0.999764821237757,0.999803684943201,0.995420476522726,0.989568554180596,0.918936693338249,0.979977543981336,0.929362738782656,0.999778742015347,0.928068955169921,0.908301076729726,0.999480156383196,0.972266362279565,0.999816070403026,0.904915080650242,0.999870153225527,0.999867948885259,0.999802425648442,0.999879201461553,0.999850819861949,0.932129062455055
MAR04521,"D-Glucose-6-phosphate phosphohydrolase",MAM01968r + MAM02040r  -> MAM01965r + MAM02751r,"Glycolysis / Gluconeogenesis",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
MAR06412,"acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase",MAM01597m + MAM02869m  -> MAM01261m + MAM01701m,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991226047608221,1
MAR07745,"D-glucose 1-epimerase",MAM01388c  <=> MAM01965c,"Glycolysis / Gluconeogenesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR07747,"ADP:D-glucose 6-phosphotransferase",MAM01285c + MAM01965c  -> MAM01334c + MAM01968c + MAM02039c,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
MAR08360,"",MAM01796x + MAM02041x  -> MAM01249x + 2 MAM02040x,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,0.997383930591978,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR08652,"",MAM01420r + MAM01965r  -> MAM01596r + MAM01968r + MAM02578r,"Glycolysis / Gluconeogenesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08757,"",MAM01796c + MAM02039c + MAM02555c + MAM02630c  -> MAM01249c + 2 MAM02040c + MAM02554c,"Glycolysis / Gluconeogenesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03989,"maltose glucohydrolase",MAM02040e + MAM02450e  -> 2 MAM01965e,"Starch and sucrose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04122,"UDP-glucose:NAD+ 6-oxidoreductase",MAM02040c + 2 MAM02552c + MAM03108c  -> 3 MAM02039c + 2 MAM02553c + MAM03109c,"Starch and sucrose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04837,"alpha,alpha-trehalose glucohydrolase",MAM02040e + MAM03039e  -> 2 MAM01965e,"Starch and sucrose metabolism",1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
MAR05395,"UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase",MAM01996c + 8 MAM03108c  -> MAM01995c + 8 MAM02039c + 8 MAM03106c,"Starch and sucrose metabolism",1,1,1,1,0.998669590238761,1,1,1,1,1,1,1,0.99866466580768,1,1,1,1,1,1,1,1,1
MAR05396,"",MAM01995c + 3 MAM03108c  -> MAM01990c + 3 MAM02039c + 3 MAM03106c,"Starch and sucrose metabolism",1,1,1,1,0.998669590238761,1,1,1,1,1,1,1,0.99866466580768,1,1,1,1,1,1,1,1,1
MAR09727,"",MAM03108c  -> MAM02039c + MAM03106c + MAM03161c,"Starch and sucrose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR05397,"",MAM01990c  -> MAM01992c,"Starch and sucrose metabolism",1,1,1,1,0.998669590238761,1,1,1,1,1,1,1,0.99866466580768,1,1,1,1,1,1,1,1,1
MAR05398,"",MAM01992c + 3 MAM02751c  -> 3 MAM01967c + MAM01991c,"Starch and sucrose metabolism",1,1,1,1,0.998669590238761,1,1,1,1,1,1,1,0.99866466580768,1,1,1,1,1,1,1,1,1
MAR05399,"",MAM01991c  -> MAM01994c,"Starch and sucrose metabolism",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
MAR05400,"",MAM01994c + MAM02040c  -> MAM01965c + MAM01993c,"Starch and sucrose metabolism",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
MAR05401,"",MAM01993c + 7 MAM02751c  -> 7 MAM01967c + MAM01996c,"Starch and sucrose metabolism",1,1,1,1,0.998669590238875,1,1,1,1,1,1,1,0.998664665807641,1,1,1,1,1,1,1,0,1
MAR08568,"",MAM02040c + MAM02445c  -> MAM01840c + MAM02448c,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08569,"",MAM02040e + MAM02445e  -> MAM01965e + MAM02448e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08570,"",2 MAM02040c + MAM02448c  -> 2 MAM01840c + MAM02446c,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08571,"",2 MAM02040e + MAM02448e  -> 2 MAM01965e + MAM02446e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08572,"",MAM02040c + MAM02446c  -> MAM01840c + MAM02447c,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08573,"",MAM02040e + MAM02446e  -> MAM01965e + MAM02447e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08574,"",MAM02040c + MAM02447c  -> MAM01840c + MAM02449c,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08575,"",MAM02040e + MAM02447e  -> MAM01965e + MAM02449e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08576,"",MAM02040c + MAM02449c  -> MAM01840c + MAM02451c,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08577,"",MAM02040e + MAM02449e  -> MAM01965e + MAM02451e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08578,"",MAM02040c + MAM02451c  -> MAM01840c + MAM02452c,"Starch and sucrose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
MAR08579,"",MAM02040e + MAM02451e  -> MAM01965e + MAM02452e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08581,"",MAM02040e + MAM02452e  -> MAM01965e + MAM02450e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08591,"",MAM02040c + MAM02452c  -> MAM01965c + MAM02450c,"Starch and sucrose metabolism",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
MAR08592,"",MAM02040l + MAM02452l  -> MAM01965l + MAM02450l,"Starch and sucrose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
MAR08580,"",MAM02040c + MAM02452c  -> MAM01840c + MAM02450c,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08582,"",MAM02040c + MAM02450c  -> 2 MAM01840c,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08587,"maltose glucohydrolase",MAM02040c + MAM02450c  -> 2 MAM01965c,"Starch and sucrose metabolism",1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
MAR08589,"maltose glucohydrolase",MAM02040l + MAM02450l  -> 2 MAM01965l,"Starch and sucrose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR08583,"1,4-alpha-D-Glucan glucohydrolase",8 MAM02040e + MAM02936e  -> 8 MAM01965e + MAM02937e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08584,"",MAM02040e + MAM02937e  -> MAM01965e + MAM02450e,"Starch and sucrose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08585,"3-phospho-D-glyceroyl-phosphate:alpha-D-glucose-1-phosphate 6-phosphotransferase",MAM00247c + MAM01967c  -> MAM00913c + MAM01966c,"Starch and sucrose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
MAR03944,"UTP:alpha-D-glucose-1-phosphate uridylyltransferase",MAM01967c + MAM02039c + MAM03130c  -> MAM02759c + MAM03108c,"Galactose metabolism",0,0,0.999999368847282,0.999999372492515,0.99905632124276,0.999999367051012,0.999999367791388,0,0.999999369105941,0.999999376709694,0.999999381160375,0.999999377897966,0.999008814705035,NaN,NaN,0,0.999984802767513,0,0.999999365353043,0.999987797955637,0,0.999860241899611
MAR04128,"UDP-glucose 4-epimerase",MAM03107c  <=> MAM03108c,"Galactose metabolism",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
MAR04130,"",MAM01371c + MAM01910c  -> MAM01285c + MAM01322c + MAM02039c,"Galactose metabolism",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04131,"UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase",MAM01967c + MAM03107c  <=> MAM01322c + MAM03108c,"Galactose metabolism",1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
MAR04132,"UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase",MAM01911c + MAM03108c  -> MAM01967c + MAM03107c,"Galactose metabolism",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04303,"sucrose glucohydrolase",MAM02040e + MAM02945e  -> MAM01840e + MAM01965e,"Galactose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04414,"ATP:alpha-D-galactose 1-phosphotransferase",MAM01371c + MAM01910c  -> MAM01285c + MAM01911c + MAM02039c,"Galactose metabolism",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04415,"Lactose galactohydrolase",MAM02040e + MAM02332e  -> MAM01910e + MAM01965e,"Galactose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04416,"Galactosylglycerol galactohydrolase",MAM01913e + MAM02040e  -> MAM01910e + MAM01983e,"Galactose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04831,"Lactose:(acceptor) 3-oxidoreductase",MAM02332e + MAM02552e  <=> MAM00812e + MAM02039e + MAM02553e,"Galactose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04832,"3-Ketolactose galactohydrolase",MAM00810e + MAM01965e  <=> MAM00812e + MAM02040e,"Galactose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR07674,"UDP-alpha-D-galactose:D-glucose 4-beta-D-galactosyltransferase",MAM01965g + MAM03107g  -> MAM02039g + MAM02332g + MAM03106g,"Galactose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR08761,"ATP:D-tagatose 6-phosphotransferase",MAM01371c + MAM01745c  -> MAM01285c + MAM01746c + MAM02039c,"Galactose metabolism",1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1
MAR08762,"",MAM01746c  <=> MAM01690c + MAM01981c,"Galactose metabolism",1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1
MAR08764,"",MAM02040l + MAM02332l  -> MAM01910l + MAM01965l,"Galactose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08766,"galactitol:NADP+ 1-oxidoreductase",MAM01910c + MAM02039c + MAM02555c  <=> MAM01909c + MAM02554c,"Galactose metabolism",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR08767,"UTP:alpha-D-galactose-1-phosphate uridylyltransferase",MAM01322c + MAM02039c + MAM03130c  -> MAM02759c + MAM03107c,"Galactose metabolism",0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
MAR00454,"ATP:D-glyceraldehyde 3-phosphotransferase",MAM01371c + MAM01981c  -> MAM01285c + MAM01939c + MAM02039c,"Fructose and mannose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04297,"",MAM01371c + MAM01845c  -> MAM01285c + MAM01843c + MAM02039c,"Fructose and mannose metabolism",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04310,"ATP:D-fructose 1-phosphotransferase",MAM01371c + MAM01840c  -> MAM01285c + MAM01842c + MAM02039c,"Fructose and mannose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04315,"D-Glucitol:NAD+ 2-oxidoreductase",MAM01682c + MAM02552c  <=> MAM01840c + MAM02039c + MAM02553c,"Fructose and mannose metabolism",1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0.996556899942217,0.997054858916865,1,0,1
MAR04316,"D-Glucitol:NADP+ 1-oxidoreductase",MAM01682c + MAM02554c  <=> MAM01965c + MAM02039c + MAM02555c,"Fructose and mannose metabolism",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99298473876132,0.993240912207543,0.992737666873511,1,1,1
MAR04317,"",MAM01371c + MAM01682c  -> MAM01285c + MAM02039c + MAM02917c,"Fructose and mannose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04318,"",MAM01371c + MAM01840c  -> MAM01285c + MAM01844c + MAM02039c,"Fructose and mannose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04319,"ATP:D-fructose 6-phosphotransferase",MAM01371c + MAM01840c  -> MAM01285c + MAM01845c + MAM02039c,"Fructose and mannose metabolism",1,0.999999999998599,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04320,"",MAM01371c + MAM02454c  -> MAM01285c + MAM01717c + MAM02039c,"Fructose and mannose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04356,"D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase",MAM01690c + MAM01981c  -> MAM01842c,"Fructose and mannose metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04383,"D-mannose-6-phosphate aldose-ketose-isomerase",MAM01845c  <=> MAM02455c,"Fructose and mannose metabolism",1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1
MAR04385,"D-mannose 6-phosphate 1,6-phosphomutase",MAM02455c  -> MAM02454c,"Fructose and mannose metabolism",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04386,"GDP:D-mannose-1-phosphate guanylyltransferase",MAM01948c + MAM02039c + MAM02454c  -> MAM01951c + MAM02751c,"Fructose and mannose metabolism",1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1
MAR04387,"GTP:alpha-D-mannose-1-phosphate guanylyltransferase",MAM02034c + MAM02039c + MAM02454c  -> MAM01951c + MAM02759c,"Fructose and mannose metabolism",1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
MAR04399,"GDP-alpha-D-mannose 4,6-hydro-lyase (GDP-4-dehydro-alpha-D-rhamnose-forming)",MAM01951c  -> MAM01949c + MAM02040c,"Fructose and mannose metabolism",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
MAR04400,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",MAM01949c + MAM02039c + MAM02553c  -> MAM01950c + MAM02552c,"Fructose and mannose metabolism",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
